,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3,3,5,7,2,5,5,5,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5000.0,,-4000.0,-5000.0,,,,-5000.0,-4000.0,
4,3,5,7,2,5,0,4,0,11,2,0,0,0,0,0,0,0,0,0,0,27,0,29,14,0,0,0,28,27,0,,-4000.0,,,,-5000.0,-5000.0,,,-5000.0
5,3,5,7,2,2,0,4,0,11,2,0,0,0,0,0,0,0,0,0,0,27,26,29,14,0,28,28,28,27,27,,,,,-5000.0,,,,,
6,3,5,7,2,2,0,4,0,11,2,0,0,0,0,0,0,0,0,0,0,27,26,29,14,28,28,28,28,27,27,,,,,,,,,,
7,3,5,7,2,2,0,4,0,5,2,15,0,17,4,0,0,0,13,17,0,2,26,2,0,28,28,28,5,0,27,,,,,,,,,-8085.0,
8,3,5,7,2,2,0,4,0,5,2,15,8,17,4,0,17,18,13,7,16,2,8,2,0,28,1,0,5,17,1,,,,,,,,,,
9,3,5,5,2,2,0,4,0,5,2,15,8,17,4,17,17,18,13,7,16,2,8,2,0,1,1,0,5,17,1,,,-9085.0,,,,,,,
10,3,5,5,2,2,0,4,0,5,2,15,8,7,4,17,17,18,13,7,16,2,8,10,0,1,1,0,5,17,1,,,,,,,,,,
11,1,1,5,2,2,0,4,0,5,2,15,8,7,4,17,17,18,13,19,16,2,8,10,0,1,1,0,5,5,1,-5075.0,-22040.0,,-2020.0,,,,,,
12,1,1,5,2,2,0,1,0,5,2,5,8,7,4,17,17,18,13,19,16,11,8,10,26,1,1,0,5,5,1,,,,,,,-4090.0,,,-13080.0
